+---------------------------------------------------------+
|                                                         |
|           ////////                 ****///              |
|       ///////////////          ********////////         |
|   *//////////////////////   ***********////////////     |
|   *****//////////////////////**********////////////     |
|   *********//////////////////////******////////////     |
|   ************ /////////////////////** ////////////     |
|   ************    ////////////////     ////////////     |
|   ************        /////////        ////////////     |
|   ************            /            ////////////     |
|   ************                         ////////////     |
|   ************                         ////////////     |
|   ************                         ////////////     |
|   ************                         ////////////     |
|    ***********                         ///////////      |
|        *******                         //////           |
|             **                         //               |
|                                                         |
|         MaCh3D, Revolution in Material Testing          |
|     Made in Italy with passion for materials world      |
|                     Since Aug, 2020                     |
|                                                         |
+---------------------------------------------------------+
|             MaCh S/N:              |
|                 MaCh FW  version: 0.0.0                  |
|                 MaChWare version: 1.0.0                  |
+---------------------------------------------------------+

2023-06-05
11:25:12

+---------------------------------------------------------+
|                         ROUTINE                         |
+---------------------------------------------------------+

ID;;0
Name;;
Description;;
STR1 GF;;0.0010
STR2 GF;;0.0010
LOAD cpr th;(N);-4999
LOAD ext th;(N);4999
EXTS cpr th;(mm);0.00
EXTS ext th;(mm);0.00
STR1 cpr th;(mm/mm);0.00
STR1 ext th;(mm/mm);0.00
STR2 cpr th;(mm/mm);0.00
STR2 ext th;(mm/mm);0.00
TMP1 low th;(deg_C);0.0
TMP1 high th;(deg_C);0.0
TMP2 low th;(deg_C);0.0
TMP2 high th;(deg_C);0.0

+---------------------------------------------------------+
|                          DATA                           |
+---------------------------------------------------------+

TIME;DISP;LOAD;EXTS;ENC1;ENC2;STR1;STR2;TMP1;TMP2
-;-;ON;ON;ON;OFF;OFF;OFF;ON;OFF
(ms);(mm);(N);(mm);(mm);(mm);(mm/mm);(mm/mm);(deg_C);(deg_C)

32000;10.102;576.84;0.22657;2.510;0;0;0;nan;0
32200;10.119;583.01;0.22890;2.527;0;0;0;nan;0
32400;10.136;587.46;0.22981;2.543;0;0;0;nan;0
32600;10.152;594.72;0.23379;2.560;0;0;0;nan;0
32800;10.169;599.45;0.23650;2.576;0;0;0;nan;0
33000;10.186;605.77;0.23808;2.592;0;0;0;nan;0
33200;10.203;610.14;0.24153;2.608;0;0;0;nan;0
33400;10.219;617.46;0.24431;2.625;0;0;0;nan;0
33600;10.236;623.21;0.24582;2.641;0;0;0;nan;0
33800;10.253;630.74;0.24965;2.657;0;0;0;nan;0
34000;10.269;635.84;0.25326;2.674;0;0;0;nan;0
34200;10.286;638.49;0.25394;2.690;0;0;0;nan;0
34400;10.303;644.02;0.25559;2.706;0;0;0;nan;0
34600;10.320;649.61;0.25860;2.723;0;0;0;nan;0
34800;10.336;657.15;0.26311;2.739;0;0;0;nan;0
35000;10.353;662.75;0.26544;2.755;0;0;0;nan;0
35200;10.370;668.20;0.26672;2.771;0;0;0;nan;0
35400;10.387;672.65;0.26822;2.787;0;0;0;nan;0
35600;10.403;677.74;0.26957;2.803;0;0;0;nan;0
35800;10.420;684.13;0.27438;2.820;0;0;0;nan;0
36000;10.437;689.73;0.27769;2.836;0;0;0;nan;0
36200;10.454;695.40;0.27814;2.852;0;0;0;nan;0
36400;10.470;699.92;0.28348;2.868;0;0;0;nan;0
36600;10.487;707.89;0.28536;2.885;0;0;0;nan;0
36800;10.504;710.55;0.28611;2.901;0;0;0;nan;0
37000;10.520;714.78;0.29100;2.918;0;0;0;nan;0
37200;10.537;721.81;0.29431;2.934;0;0;0;nan;0
37400;10.554;728.20;0.29581;2.951;0;0;0;nan;0
37600;10.570;732.86;0.29994;2.968;0;0;0;nan;0
37800;10.587;738.32;0.30024;2.984;0;0;0;nan;0
38000;10.604;743.55;0.30498;3.001;0;0;0;nan;0
38200;10.621;748.94;0.30506;3.017;0;0;0;nan;0
38400;10.638;755.61;0.30949;3.033;0;0;0;nan;0
38600;10.655;759.99;0.31129;3.049;0;0;0;nan;0
38800;10.671;765.44;0.31393;3.065;0;0;0;nan;0
39000;10.688;770.54;0.31633;3.082;0;0;0;nan;0
39200;10.705;776.35;0.31986;3.098;0;0;0;nan;0
39400;10.721;781.66;0.32295;3.114;0;0;0;nan;0
39600;10.738;787.69;0.32543;3.130;0;0;0;nan;0
39800;10.755;790.85;0.32738;3.146;0;0;0;nan;0
40000;10.772;798.38;0.33076;3.163;0;0;0;nan;0
40200;10.788;801.90;0.33076;3.179;0;0;0;nan;0
40400;10.805;807.28;0.33497;3.195;0;0;0;nan;0
40600;10.822;814.89;0.33866;3.211;0;0;0;nan;0
40800;10.839;819.34;0.34212;3.228;0;0;0;nan;0
41000;10.855;823.43;0.34437;3.244;0;0;0;nan;0
41200;10.872;830.17;0.34625;3.261;0;0;0;nan;0
41400;10.889;833.83;0.35039;3.277;0;0;0;nan;0
41600;10.906;839.22;0.35069;3.293;0;0;0;nan;0
41800;10.922;843.24;0.35347;3.310;0;0;0;nan;0
42000;10.939;847.12;0.35723;3.326;0;0;0;nan;0
42200;10.956;855.08;0.36083;3.343;0;0;0;nan;0
42400;10.973;859.53;0.36362;3.359;0;0;0;nan;0
42600;10.989;864.26;0.36662;3.375;0;0;0;nan;0
42800;11.006;868.86;0.36910;3.392;0;0;0;nan;0
43000;11.023;876.68;0.37068;3.409;0;0;0;nan;0
43200;11.039;880.12;0.37211;3.426;0;0;0;nan;0
43400;11.056;885.22;0.37873;3.443;0;0;0;nan;0
43600;11.073;889.45;0.38053;3.460;0;0;0;nan;0
43800;11.090;893.69;0.38121;3.477;0;0;0;nan;0
44000;11.106;899.22;0.38324;3.494;0;0;0;nan;0
44200;11.123;905.89;0.38917;3.510;0;0;0;nan;0
44400;11.140;911.63;0.39406;3.527;0;0;0;nan;0
44600;11.157;911.49;0.39369;3.543;0;0;0;nan;0
44800;11.173;919.74;0.39617;3.560;0;0;0;nan;0
45000;11.190;925.26;0.39977;3.576;0;0;0;nan;0
45200;11.207;928.50;0.40263;3.592;0;0;0;nan;0
45400;11.224;935.31;0.40654;3.609;0;0;0;nan;0
45600;11.240;940.41;0.41030;3.625;0;0;0;nan;0
45800;11.257;944.00;0.41413;3.642;0;0;0;nan;0
46000;11.274;948.51;0.41338;3.658;0;0;0;nan;0
46200;11.291;953.97;0.41752;3.675;0;0;0;nan;0
46400;11.307;957.06;0.42015;3.691;0;0;0;nan;0
46600;11.324;963.59;0.42330;3.707;0;0;0;nan;0
46800;11.341;968.33;0.42654;3.724;0;0;0;nan;0
47000;11.358;973.49;0.42796;3.740;0;0;0;nan;0
47200;11.374;974.64;0.43195;3.757;0;0;0;nan;0
47400;11.391;980.66;0.43390;3.773;0;0;0;nan;0
47600;11.408;985.47;0.43766;3.789;0;0;0;nan;0
47800;11.425;990.93;0.44307;3.805;0;0;0;nan;0
48000;11.442;995.81;0.44292;3.822;0;0;0;nan;0
48200;11.458;1000.12;0.44698;3.838;0;0;0;nan;0
48400;11.475;1004.64;0.45082;3.854;0;0;0;nan;0
48600;11.492;1008.80;0.45322;3.871;0;0;0;nan;0
48800;11.508;1013.82;0.45593;3.887;0;0;0;nan;0
49000;11.525;1015.76;0.45849;3.904;0;0;0;nan;0
49200;11.542;1022.22;0.46247;3.920;0;0;0;nan;0
49400;11.559;1026.67;0.46472;3.937;0;0;0;nan;0
49600;11.575;1030.04;0.46803;3.954;0;0;0;nan;0
49800;11.592;1034.78;0.47224;3.971;0;0;0;nan;0
50000;11.609;1039.66;0.47465;3.988;0;0;0;nan;0
50200;11.626;1042.24;0.47720;4.005;0;0;0;nan;0
50400;11.643;1049.42;0.48096;4.021;0;0;0;nan;0
50600;11.659;1051.07;0.48374;4.037;0;0;0;nan;0
50800;11.676;1056.95;0.48637;4.054;0;0;0;nan;0
51000;11.693;1061.19;0.48953;4.070;0;0;0;nan;0
51200;11.709;1063.27;0.49307;4.087;0;0;0;nan;0
51400;11.726;1066.36;0.49667;4.104;0;0;0;nan;0
51600;11.743;1072.60;0.49893;4.120;0;0;0;nan;0
51800;11.760;1075.90;0.50246;4.137;0;0;0;nan;0
52000;11.776;1080.92;0.50682;4.153;0;0;0;nan;0
